absent present
abundance lack
abundant scarce
accidental intentional
accurate inaccurate
add subtract
admit deny
advance retreat
advanced elementary
advantage disadvantage
after before
agree disagree
ahead behind
alive dead
already not yet
always never
amateur professional
amuse bore
angel devil
appear disappear
approval disapproval
approve disapprove
arrival departure
arrive depart
ascend descend
attractive repulsive
authentic imitation
badluck goodluck
bald hairy
beauty ugliness
bend straighten
best worst
better worse
bless curse
bold timid
boring stimulating
bound unbound
brave cowardly
bravery cowardice
bright dim
buy sell
can can not
capable incapable
careful careless
cellar attic
certain uncertain
clean dirty
clockwise counterclockwise
combine separate
comfort discomfort
complete incomplete
conceal reveal
condemn praise
constant changeable
construction destruction
continue interrupt
correct incorrect
courteous discourteous
cruel kind
dangerous safe
daytime nighttime
definite indefinite
demand supply
despair hope
dictatorship democracy
disease health
disgrace honor
downstairs upstairs
downwards upwards
dwarf giant
early late
east west
easy difficult
ebb flow
employer employee
encourage discourage
everybody nobody
exactly approximately
excited calm
expand contract
expensive inexpensive
extinguish ignite
fade brighten
fancy plain
fear courage
feeble powerful
female male
fertile barren
fiction fact
first last
floor ceiling
fold unfold
foolish wise
for against
forbid allow
fore aft
foreground background
forelegs hindlegs
fortunate unfortunate
frank secretive
freedom captivity
freeze melt
frequently occasionally
fresh stale
friend enemy
front back
full empty
future past
gain loss
gather distribute
general particular
give take
glad sorry
gloomy cheerful
good bad
graceful clumsy
grant refuse
granted refused
grow shrink
guardian ward
happy sad
harmful harmless
harmony discord
harsh mild
hasten dawdle
heaven hell
height depth
help hinder
hill valley
hilly flat
honest dishonest
hopeful hopeless
horizontal vertical
hot cold
humble proud
idle busy
immigrate emigrate
immigration emigration
import export
important trivial
imprison free
include exclude
increase decrease
inferior superior
inhabited uninhabited
inhale exhale
inner outer
innocent guilty
inside outside
insult compliment
intelligent unintelligent
interested bored
interesting uninteresting
interior exterior
internal external
jolly unhappy
junior senior
justice injustice
keen uninterested
king subject
knowledge ignorance
known unknown
land sea
landlord tenant
large small
laugh cry
lawful unlawful
lazy energetic
leader follower
lend borrow
lender borrower
length width
lengthen shorten
life death
light dark
like dislike
likely unlikely
limited boundless
literal figurative
little big
live die
lock unlock
lofty lowly
loose tight
love hate
low high
loyal disloyal
magnetize demagnetize
major minor
majority minority
many few
married single
marry divorce
mature immature
minimum maximum
miser spendthrift
misunderstand understand
modern ancient
monarchy republic
morning evening
mother father
nadir zenith
naked clothed
native foreigner
natural artificial
neat messy
nice nasty
niece nephew
noneof allof
noon midnight
north south
nothing everything
notice ignore
nourish starve
obedient disobedien
obey disobey
older younger
open closed
opposite similar
optimist pessimist
ordinary special
outskirts center
parents children
patient impatient
perfect faulty
plant harvest
pleasant awful
poetry prose
polite rude
positive negative
possible impossible
poverty wealth
presence absence
preserve waste
protect attack
prudent imprudent
pure impure
qualified unqualified
quiet loud
rainy sunny
rare common
raw cooked
real fake
regular irregular
regularly irregularly
reluctant enthusiastic
remember enthusiastic
repair damage
reward punishment
rich poor
rigid pliable
rough smooth
rural urban
sadness happiness
safety danger
same different
sane insane
satisfaction dissatisfaction
satisfactory unsatisfactory
satisfy dissatisfy
scatter collect
secure insecure
security insecurity
seldom often
selfish unselfish
sense nonsense
serious silly
servant master
setfree arrest
sharp dull
shelter exposure
shopkeeper customer
sick healthy
simple complex
singular plural
sister brother
sit stand
slim fat
smart dumb
smile frown
soft hard
solid liquid
some none
sorrow joy
sow reap
speaker listener
start finish
stationary movable
straight crooked
strengthen weaken
strict lenient
strong weak
student teacher
stupid clever
succeed fail
success failure
sugar salt
summer winter
supporter opponent
sweet sour
synonym antonym
tall shor
tame wild
temporary permanent
terrible lovely
thankful thankless
thick thin
tiny huge
together apart
top bottom
total partial
tough tender
tragedy comedy
transparent opaque
true false
trust suspect
truth lie
ugly pretty
unbreakable fragile
unite divide
unity division
urgent leisurely
useful useless
usually rarely
vacant occupied
valuable valueless
victory defeat
villain hero
virtue vice
visible invisible
voluntary compulsory
war peace
wax wane
well ill
wet dry
whisper scream
wide narrow
win lose
winner loser
wisdom folly
yes no
yesterday tomorrow
young old
zip unzip
